id,premium,deductible,income,insurance,choice
1,2.86798891705923,1.700825860713155,5.736151490227936,Health,1
1,3.132678253322696,2.141191797886485,5.736151490227936,HCorp,0
1,2.034546405495844,2.261641234257608,5.736151490227936,SickInc,0
1,1.652946995826437,2.940557945651019,5.736151490227936,MGroup,0
1,.8697921428215101,3.55618443370116,5.736151490227936,MoonHealth,0
2,3.517932835365471,1.241650170293283,2.892377003251854,Health,0
2,3.230599150767028,1.520715876936118,2.892377003251854,HCorp,0
2,2.805275339741328,2.307992036399231,2.892377003251854,SickInc,0
2,1.039537534685938,2.581369421158746,2.892377003251854,MGroup,1
2,.9321322722182694,3.17413059263454,2.892377003251854,MoonHealth,0
3,2.301227142018882,1.280451176572016,4.693924078699497,Health,1
3,2.550180983708014,1.597626651351377,4.693924078699497,HCorp,0
3,1.544720455344919,2.538124637902969,4.693924078699497,SickInc,0
3,2.115359802847856,3.077420004223493,4.693924078699497,MGroup,0
3,1.107660372048166,2.118770229188614,4.693924078699497,MoonHealth,0
4,3.500632574961887,.849375474934249,8.164589674860849,Health,0
4,2.371176437250213,1.461605966888345,8.164589674860849,HCorp,1
4,2.028505350443817,2.401341391018394,8.164589674860849,SickInc,0
4,2.313319485327369,2.23801011146108,8.164589674860849,MGroup,0
4,.8474076291080694,3.694450524323237,8.164589674860849,MoonHealth,0
5,4.069839346035274,1.0366723465164,5.669116116394632,Health,1
5,2.478581300738955,1.553695559460417,5.669116116394632,HCorp,0
5,2.575454168554219,2.80868010480677,5.669116116394632,SickInc,0
5,2.415178173978835,2.52590924046412,5.669116116394632,MGroup,0
5,1.238742512297228,3.182584512792733,5.669116116394632,MoonHealth,0
6,2.988874949748893,1.744282263222252,4.515219391184937,Health,0
6,3.005625710154334,2.048470419006351,4.515219391184937,HCorp,0
6,1.830929936422003,2.975515577163038,4.515219391184937,SickInc,0
6,1.159967457181501,2.747776165913998,4.515219391184937,MGroup,1
6,1.846551257877585,3.468322048575876,4.515219391184937,MoonHealth,0
7,2.945431110910409,1.571414380059794,6.139137507615851,Health,0
7,2.545535907827045,2.036645972293401,6.139137507615851,HCorp,1
7,2.795233958431525,2.159247726409459,6.139137507615851,SickInc,0
7,1.885777439844466,2.834869118460691,6.139137507615851,MGroup,0
7,1.681482526830002,3.033980377900297,6.139137507615851,MoonHealth,0
8,2.91232913905329,1.555952078869072,3.114214451900269,Health,1
8,2.589988572160355,2.118259203172417,3.114214451900269,HCorp,0
8,1.643870253302772,2.569333198603018,3.114214451900269,SickInc,0
8,1.8935505500747,2.767868401592391,3.114214451900269,MGroup,0
8,1.961034203254636,3.232953835639485,3.114214451900269,MoonHealth,0
9,2.76337793833183,.6374577532069727,3.928300538435422,Health,0
9,2.959349965028228,1.444525972125465,3.928300538435422,HCorp,0
9,2.561207462678787,2.095386878264438,3.928300538435422,SickInc,1
9,2.197583933193916,3.028993544619453,3.928300538435422,MGroup,0
9,1.306847609673162,3.088058918908072,3.928300538435422,MoonHealth,0
10,2.776953307769012,1.342880466882147,5.17629521001403,Health,0
10,3.197467921808832,1.948368342075716,5.17629521001403,HCorp,0
10,2.362625028148892,2.154829882115979,5.17629521001403,SickInc,0
10,1.555705005497672,2.296609298412513,5.17629521001403,MGroup,1
10,1.778604130109855,2.94311968990898,5.17629521001403,MoonHealth,0
11,3.050542105173003,1.589244029842691,4.509733728143174,Health,0
11,3.123837402198039,1.785666054711473,4.509733728143174,HCorp,0
11,1.509193544293887,1.900049764088476,4.509733728143174,SickInc,1
11,1.456842308564774,2.909158834464988,4.509733728143174,MGroup,0
