ID,year,month,week,after,close,sales
1,2011,4,17,0,1,18564.46
1,2011,4,18,0,1,30882.56
1,2011,5,19,0,1,37424.93
1,2011,5,20,0,1,32562.69
1,2011,5,21,0,1,35772.67
1,2011,5,22,0,1,33141.82
1,2011,5,23,0,1,31751.83
1,2011,6,24,0,1,44806.51
1,2011,6,25,0,1,31873.12
1,2011,6,26,0,1,31289.53
1,2011,6,27,0,1,18165.48
1,2011,7,28,0,1,24031.39
1,2011,7,29,0,1,16517.56
1,2011,7,30,0,1,6845.12
1,2011,7,31,0,1,11946.10
1,2011,8,32,0,1,20217.27
1,2011,8,33,0,1,19117.19
1,2011,8,34,0,1,15088.91
1,2011,8,35,0,1,11506.90
1,2011,8,36,0,1,27765.02
1,2011,9,37,0,1,26113.26
1,2011,9,38,0,1,19310.50
1,2011,9,39,0,1,14741.95
1,2011,9,40,0,1,31950.70
1,2011,10,41,0,1,18089.09
1,2011,10,42,0,1,40562.93
1,2011,10,43,1,1,26997.04
1,2011,10,44,1,1,27521.77
1,2011,10,45,1,1,19163.64
1,2011,11,46,1,1,16666.61
1,2011,11,47,1,1,39513.41
1,2011,11,48,1,1,22377.71
1,2011,11,49,1,1,69086.00
1,2011,12,50,1,1,27563.40
1,2011,12,51,1,1,20591.69
1,2011,12,52,1,1,27297.20
1,2011,12,53,1,1,12993.42
1,2012,1,1,1,1,17912.89
1,2012,1,2,1,1,16274.91
1,2012,1,3,1,1,6720.81
1,2012,1,4,1,1,17294.84
1,2012,1,5,1,1,11947.77
1,2012,1,6,1,1,21471.11
1,2012,2,7,1,1,23376.38
1,2012,2,8,1,1,16398.73
1,2012,2,9,1,1,28410.06
1,2012,2,10,1,1,18620.10
1,2012,3,11,1,1,10190.66
1,2012,3,12,1,1,13472.13
1,2012,3,13,1,1,9424.21
1,2012,3,14,1,1,10009.90
2,2011,4,17,0,0,86332.80
2,2011,4,18,0,0,57384.70
2,2011,5,19,0,0,109949.31
2,2011,5,20,0,0,71999.80
2,2011,5,21,0,0,134981.36
2,2011,5,22,0,0,34303.34
2,2011,5,23,0,0,88617.79
2,2011,6,24,0,0,98571.84
2,2011,6,25,0,0,42959.68
2,2011,6,26,0,0,59599.44
2,2011,6,27,0,0,122426.16
2,2011,7,28,0,0,84280.48
2,2011,7,29,0,0,37158.30
2,2011,7,30,0,0,67811.62
2,2011,7,31,0,0,60453.13
2,2011,8,32,0,0,31014.79
2,2011,8,33,0,0,73827.11
2,2011,8,34,0,0,44440.45
2,2011,8,35,0,0,77480.75
2,2011,8,36,0,0,63910.26
2,2011,9,37,0,0,103031.44
2,2011,9,38,0,0,42616.27
2,2011,9,39,0,0,60001.10
2,2011,9,40,0,0,44035.90
2,2011,10,41,0,0,66435.24
2,2011,10,42,0,0,54881.80
2,2011,10,43,1,0,54671.91
2,2011,10,44,1,0,184310.53
2,2011,10,45,1,0,74974.70
2,2011,11,46,1,0,73731.84
2,2011,11,47,1,0,79940.95
2,2011,11,48,1,0,78177.56
2,2011,11,49,1,0,215689.31
2,2011,12,50,1,0,180844.61
